         98616 function calls (96118 primitive calls) in 0.224 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       14    0.001    0.000    0.538    0.038 __init__.py:1(<module>)
    116/1    0.001    0.000    0.224    0.224 {built-in method builtins.exec}
        1    0.000    0.000    0.224    0.224 Task4.py:1(<module>)
    152/1    0.001    0.000    0.224    0.224 <frozen importlib._bootstrap>:1349(_find_and_load)
    152/1    0.001    0.000    0.224    0.224 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    140/1    0.001    0.000    0.223    0.223 <frozen importlib._bootstrap>:911(_load_unlocked)
    114/1    0.000    0.000    0.223    0.223 <frozen importlib._bootstrap_external>:993(exec_module)
    372/2    0.001    0.000    0.223    0.111 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
    373/9    0.000    0.000    0.213    0.024 {built-in method builtins.__import__}
   250/40    0.001    0.000    0.210    0.005 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.089    0.089 __config__.py:1(<module>)
      114    0.001    0.000    0.081    0.001 <frozen importlib._bootstrap_external>:1066(get_code)
      114    0.001    0.000    0.051    0.000 <frozen importlib._bootstrap_external>:1187(get_data)
        1    0.000    0.000    0.040    0.040 index_tricks.py:1(<module>)
      151    0.002    0.000    0.036    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        1    0.000    0.000    0.033    0.033 defmatrix.py:1(<module>)
      150    0.000    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:1524(find_spec)
      150    0.001    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:1495(_get_spec)
  140/136    0.000    0.000    0.032    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      114    0.031    0.000    0.031    0.000 {built-in method _io.open_code}
      270    0.003    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:1597(find_spec)
        1    0.000    0.000    0.030    0.030 linalg.py:1(<module>)
    25/24    0.000    0.000    0.028    0.001 <frozen importlib._bootstrap_external>:1291(create_module)
    25/24    0.023    0.001    0.028    0.001 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.027    0.027 numerictypes.py:1(<module>)
        1    0.000    0.000    0.025    0.025 _pickle.py:1(<module>)
      114    0.005    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:755(_compile_bytecode)
        1    0.000    0.000    0.024    0.024 _type_aliases.py:1(<module>)
    25/15    0.000    0.000    0.023    0.002 <frozen importlib._bootstrap_external>:1299(exec_module)
    25/15    0.005    0.000    0.023    0.002 {built-in method _imp.exec_dynamic}
      593    0.000    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      593    0.021    0.000    0.021    0.000 {built-in method posix.stat}
